,prompt,country,example,metric,gt_answer_avg,type
1,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Afghanistan?  Do not answer in a complete sentence - only provide the number!",Afghanistan,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",620.0,maternal_mortality_ratio
2,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Angola?  Do not answer in a complete sentence - only provide the number!",Angola,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",222.0,maternal_mortality_ratio
3,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Albania?  Do not answer in a complete sentence - only provide the number!",Albania,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",8.0,maternal_mortality_ratio
4,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country United Arab Emirates?  Do not answer in a complete sentence - only provide the number!",United Arab Emirates,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",9.0,maternal_mortality_ratio
5,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Argentina?  Do not answer in a complete sentence - only provide the number!",Argentina,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",45.0,maternal_mortality_ratio
6,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Armenia?  Do not answer in a complete sentence - only provide the number!",Armenia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",27.0,maternal_mortality_ratio
7,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Antigua and Barbuda?  Do not answer in a complete sentence - only provide the number!",Antigua and Barbuda,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",21.0,maternal_mortality_ratio
8,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Australia?  Do not answer in a complete sentence - only provide the number!",Australia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",3.0,maternal_mortality_ratio
9,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Austria?  Do not answer in a complete sentence - only provide the number!",Austria,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
10,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Azerbaijan?  Do not answer in a complete sentence - only provide the number!",Azerbaijan,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",41.0,maternal_mortality_ratio
11,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Burundi?  Do not answer in a complete sentence - only provide the number!",Burundi,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",494.0,maternal_mortality_ratio
12,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Belgium?  Do not answer in a complete sentence - only provide the number!",Belgium,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
13,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Benin?  Do not answer in a complete sentence - only provide the number!",Benin,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",523.0,maternal_mortality_ratio
14,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Burkina Faso?  Do not answer in a complete sentence - only provide the number!",Burkina Faso,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",264.0,maternal_mortality_ratio
15,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bangladesh?  Do not answer in a complete sentence - only provide the number!",Bangladesh,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",123.0,maternal_mortality_ratio
16,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bulgaria?  Do not answer in a complete sentence - only provide the number!",Bulgaria,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",7.0,maternal_mortality_ratio
17,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bahrain?  Do not answer in a complete sentence - only provide the number!",Bahrain,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",16.0,maternal_mortality_ratio
18,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bahamas, The?  Do not answer in a complete sentence - only provide the number!","Bahamas, The","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",77.0,maternal_mortality_ratio
19,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bosnia and Herzegovina?  Do not answer in a complete sentence - only provide the number!",Bosnia and Herzegovina,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",6.0,maternal_mortality_ratio
20,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Belarus?  Do not answer in a complete sentence - only provide the number!",Belarus,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",1.0,maternal_mortality_ratio
21,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Belize?  Do not answer in a complete sentence - only provide the number!",Belize,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",130.0,maternal_mortality_ratio
22,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bolivia?  Do not answer in a complete sentence - only provide the number!",Bolivia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",161.0,maternal_mortality_ratio
23,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Brazil?  Do not answer in a complete sentence - only provide the number!",Brazil,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",72.0,maternal_mortality_ratio
24,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Barbados?  Do not answer in a complete sentence - only provide the number!",Barbados,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",39.0,maternal_mortality_ratio
25,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Brunei Darussalam?  Do not answer in a complete sentence - only provide the number!",Brunei Darussalam,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",44.0,maternal_mortality_ratio
26,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Bhutan?  Do not answer in a complete sentence - only provide the number!",Bhutan,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",60.0,maternal_mortality_ratio
27,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Botswana?  Do not answer in a complete sentence - only provide the number!",Botswana,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",186.0,maternal_mortality_ratio
28,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Central African Republic?  Do not answer in a complete sentence - only provide the number!",Central African Republic,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",835.0,maternal_mortality_ratio
29,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Canada?  Do not answer in a complete sentence - only provide the number!",Canada,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",11.0,maternal_mortality_ratio
30,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Chile?  Do not answer in a complete sentence - only provide the number!",Chile,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",15.0,maternal_mortality_ratio
31,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country China?  Do not answer in a complete sentence - only provide the number!",China,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",23.0,maternal_mortality_ratio
32,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Cote d'Ivoire?  Do not answer in a complete sentence - only provide the number!",Cote d'Ivoire,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",480.0,maternal_mortality_ratio
33,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Cameroon?  Do not answer in a complete sentence - only provide the number!",Cameroon,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",438.0,maternal_mortality_ratio
34,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Congo, Dem. Rep.?  Do not answer in a complete sentence - only provide the number!","Congo, Dem. Rep.","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",547.0,maternal_mortality_ratio
35,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Congo, Rep.?  Do not answer in a complete sentence - only provide the number!","Congo, Rep.","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",282.0,maternal_mortality_ratio
36,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Colombia?  Do not answer in a complete sentence - only provide the number!",Colombia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",75.0,maternal_mortality_ratio
37,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Comoros?  Do not answer in a complete sentence - only provide the number!",Comoros,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",217.0,maternal_mortality_ratio
38,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Cabo Verde?  Do not answer in a complete sentence - only provide the number!",Cabo Verde,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",42.0,maternal_mortality_ratio
39,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Costa Rica?  Do not answer in a complete sentence - only provide the number!",Costa Rica,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",22.0,maternal_mortality_ratio
40,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Cuba?  Do not answer in a complete sentence - only provide the number!",Cuba,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",39.0,maternal_mortality_ratio
41,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Cyprus?  Do not answer in a complete sentence - only provide the number!",Cyprus,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",68.0,maternal_mortality_ratio
42,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Czechia?  Do not answer in a complete sentence - only provide the number!",Czechia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",3.0,maternal_mortality_ratio
43,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Germany?  Do not answer in a complete sentence - only provide the number!",Germany,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",4.0,maternal_mortality_ratio
44,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Djibouti?  Do not answer in a complete sentence - only provide the number!",Djibouti,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",234.0,maternal_mortality_ratio
45,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Denmark?  Do not answer in a complete sentence - only provide the number!",Denmark,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
46,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Dominican Republic?  Do not answer in a complete sentence - only provide the number!",Dominican Republic,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",107.0,maternal_mortality_ratio
47,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Algeria?  Do not answer in a complete sentence - only provide the number!",Algeria,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",78.0,maternal_mortality_ratio
48,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Ecuador?  Do not answer in a complete sentence - only provide the number!",Ecuador,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",66.0,maternal_mortality_ratio
49,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Egypt, Arab Rep.?  Do not answer in a complete sentence - only provide the number!","Egypt, Arab Rep.","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",17.0,maternal_mortality_ratio
50,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Eritrea?  Do not answer in a complete sentence - only provide the number!",Eritrea,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",322.0,maternal_mortality_ratio
51,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Spain?  Do not answer in a complete sentence - only provide the number!",Spain,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",3.0,maternal_mortality_ratio
52,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Estonia?  Do not answer in a complete sentence - only provide the number!",Estonia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
53,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Ethiopia?  Do not answer in a complete sentence - only provide the number!",Ethiopia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",267.0,maternal_mortality_ratio
54,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Finland?  Do not answer in a complete sentence - only provide the number!",Finland,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",8.0,maternal_mortality_ratio
55,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Fiji?  Do not answer in a complete sentence - only provide the number!",Fiji,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",38.0,maternal_mortality_ratio
56,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country France?  Do not answer in a complete sentence - only provide the number!",France,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",8.0,maternal_mortality_ratio
57,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Micronesia, Fed. Sts.?  Do not answer in a complete sentence - only provide the number!","Micronesia, Fed. Sts.","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",74.0,maternal_mortality_ratio
58,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Gabon?  Do not answer in a complete sentence - only provide the number!",Gabon,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",227.0,maternal_mortality_ratio
59,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country United Kingdom?  Do not answer in a complete sentence - only provide the number!",United Kingdom,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",10.0,maternal_mortality_ratio
60,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Georgia?  Do not answer in a complete sentence - only provide the number!",Georgia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",28.0,maternal_mortality_ratio
61,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Ghana?  Do not answer in a complete sentence - only provide the number!",Ghana,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",263.0,maternal_mortality_ratio
62,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Guinea?  Do not answer in a complete sentence - only provide the number!",Guinea,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",553.0,maternal_mortality_ratio
63,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Gambia, The?  Do not answer in a complete sentence - only provide the number!","Gambia, The","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",458.0,maternal_mortality_ratio
64,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Guinea-Bissau?  Do not answer in a complete sentence - only provide the number!",Guinea-Bissau,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",725.0,maternal_mortality_ratio
65,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Equatorial Guinea?  Do not answer in a complete sentence - only provide the number!",Equatorial Guinea,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",212.0,maternal_mortality_ratio
66,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Greece?  Do not answer in a complete sentence - only provide the number!",Greece,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",8.0,maternal_mortality_ratio
67,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Grenada?  Do not answer in a complete sentence - only provide the number!",Grenada,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",21.0,maternal_mortality_ratio
68,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Guatemala?  Do not answer in a complete sentence - only provide the number!",Guatemala,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",96.0,maternal_mortality_ratio
69,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Guyana?  Do not answer in a complete sentence - only provide the number!",Guyana,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",112.0,maternal_mortality_ratio
70,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Honduras?  Do not answer in a complete sentence - only provide the number!",Honduras,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",72.0,maternal_mortality_ratio
71,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Croatia?  Do not answer in a complete sentence - only provide the number!",Croatia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
72,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Haiti?  Do not answer in a complete sentence - only provide the number!",Haiti,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",350.0,maternal_mortality_ratio
73,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Hungary?  Do not answer in a complete sentence - only provide the number!",Hungary,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",15.0,maternal_mortality_ratio
74,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Indonesia?  Do not answer in a complete sentence - only provide the number!",Indonesia,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",173.0,maternal_mortality_ratio
75,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country India?  Do not answer in a complete sentence - only provide the number!",India,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",103.0,maternal_mortality_ratio
76,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Ireland?  Do not answer in a complete sentence - only provide the number!",Ireland,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
77,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Iran, Islamic Rep.?  Do not answer in a complete sentence - only provide the number!","Iran, Islamic Rep.","('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",22.0,maternal_mortality_ratio
78,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Iraq?  Do not answer in a complete sentence - only provide the number!",Iraq,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",76.0,maternal_mortality_ratio
79,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Iceland?  Do not answer in a complete sentence - only provide the number!",Iceland,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",3.0,maternal_mortality_ratio
80,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Israel?  Do not answer in a complete sentence - only provide the number!",Israel,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",3.0,maternal_mortality_ratio
81,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Italy?  Do not answer in a complete sentence - only provide the number!",Italy,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",5.0,maternal_mortality_ratio
82,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Jamaica?  Do not answer in a complete sentence - only provide the number!",Jamaica,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",99.0,maternal_mortality_ratio
83,"What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Jordan?  Do not answer in a complete sentence - only provide the number!",Jordan,"('What is the maternal mortality ratio as number of deaths per 100,000 live births for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '7')","maternal mortality ratio as number of deaths per 100,000 live births",41.0,maternal_mortality_ratio
